#Epoch  Link[0]   Link[1]   Link[2]   Link[3]   HMC bandwidth
1       0.339746  0.333786  0.333786  0.333786  1.3411    
2       0.2563    0.2563    0.2563    0.2563    1.0252    
3       0.244379  0.25034   0.25034   0.25034   0.995398  
4       0.232458  0.232458  0.226498  0.226498  0.917912  
5       0.154972  0.149012  0.154972  0.154972  0.613928  
6       0.13113   0.137091  0.137091  0.137091  0.542402  
7       0.0655651 0.0655651 0.0655651 0.0596046 0.2563    
8       0.0834465 0.0834465 0.0834465 0.089407  0.339746  
9       0.26226   0.2563    0.2563    0.2563    1.03116   
10      0.0298023 0.0357628 0.0357628 0.0357628 0.137091  
11      0.0238419 0.0238419 0.0238419 0.0238419 0.0953674 
12      0.0178814 0.0119209 0.0119209 0.0119209 0.0536442 
13      0.0119209 0.0178814 0.0119209 0.0119209 0.0536442 
14      0.0119209 0.0119209 0.0178814 0.0119209 0.0536442 
15      0.0119209 0.005960460.005960460.0119209 0.0357628 
16      0.0119209 0.0178814 0.0178814 0.0178814 0.0655651 
17      0.0119209 0.005960460.005960460.005960460.0298023 
18      0.005960460.0119209 0.0119209 0.0119209 0.0417233 
19      0.0119209 0.0119209 0.0119209 0.0119209 0.0476837 
20      0.0119209 0.0119209 0.0119209 0.005960460.0417233 
21      0.005960460.005960460.005960460.005960460.0238419 
22      0.005960460.005960460.005960460.0119209 0.0298023 
23      0.0119209 0.0119209 0.0119209 0.0119209 0.0476837 
24      0.005960460.005960460         0         0.0119209 
25      0         0         0.005960460.005960460.0119209 
26      0.005960460.005960460         0         0.0119209 
27      0         0         0.005960460.005960460.0119209 
28      0.005960460         0         0         0.00596046
29      0         0.005960460.005960460         0.0119209 
