#Epoch  Link[0]   Link[1]   Link[2]   Link[3]   HMC bandwidth
1       0.357628  0.357628  0.357628  0.357628  1.42455   
2       0.339746  0.786781  0.566244  0.554323  2.25306   
3       0         1.14441   0.572205  0.572205  2.29478   
4       0         1.15037   0.572205  0.578165  2.29478   
5       0         1.14441   0.572205  0.572205  2.28882   
6       0         1.15037   0.578165  0.572205  2.28882   
7       0         1.14441   0.572205  0.572205  2.30074   
8       0         1.14441   0.572205  0.572205  2.28882   
9       0         1.14441   0.572205  0.572205  2.28882   
10      0         1.15037   0.572205  0.578165  2.30074   
11      0         1.14441   0.572205  0.572205  2.28882   
12      0         1.15037   0.572205  0.572205  2.28882   
13      0         1.14441   0.578165  0.572205  2.29478   
14      0         1.14441   0.572205  0.572205  2.29478   
15      0         1.14441   0.572205  0.572205  2.28882   
16      0         1.14441   0.572205  0.572205  2.29478   
17      0         1.15037   0.572205  0.578165  2.29478   
18      0         1.14441   0.572205  0.572205  2.28882   
19      0         1.15037   0.578165  0.572205  2.28882   
20      0         1.14441   0.572205  0.572205  2.30074   
21      0         1.14441   0.572205  0.572205  2.28882   
22      0         1.14441   0.572205  0.572205  2.28882   
23      0         1.15037   0.572205  0.578165  2.30074   
24      0         1.14441   0.572205  0.572205  2.28882   
25      0         1.15037   0.572205  0.572205  2.28882   
26      0         1.14441   0.578165  0.572205  2.29478   
27      0         1.14441   0.572205  0.572205  2.29478   
28      0         1.14441   0.572205  0.572205  2.28882   
29      0         1.14441   0.572205  0.572205  2.29478   
