#Epoch  Link[0]   Link[1]   Link[2]   Link[3]   HMC bandwidth
1       0.315905  0.315905  0.309944  0.309944  1.2517    
2       0.268221  0.26226   0.268221  0.268221  1.06096   
3       2.95043   2.95639   2.95043   2.95043   11.7958   
4       3.64184   3.61204   3.67165   3.62992   14.6329   
5       6.77705   6.84261   6.73532   6.74725   27.0963   
6       6.49095   7.03335   6.96182   6.65188   27.1261   
7       6.46114   7.05123   6.92606   6.6638    27.0963   
8       6.49095   6.99759   6.96182   6.62208   27.0724   
9       6.46114   7.04527   6.91414   6.65188   27.0903   
10      6.50287   7.00951   6.94394   6.62804   27.0784   
11      6.4671    7.02739   6.94394   6.6638    27.1142   
12      6.47306   7.05123   6.94394   6.67572   27.1082   
13      6.49095   6.99759   6.96182   6.62208   27.0903   
14      6.45518   7.05123   6.91414   6.64592   27.0724   
15      6.48499   6.99759   6.95586   6.62804   27.0784   
16      6.4671    7.03931   6.94394   6.65188   27.0963   
17      6.47306   7.04527   6.94394   6.66976   27.132    
18      6.50287   7.00951   6.96182   6.62804   27.0844   
19      6.45518   7.04527   6.91414   6.65784   27.0724   
20      6.50287   7.00355   6.9499    6.61612   27.0903   
21      6.45518   7.03931   6.92606   6.66976   27.0844   
22      6.47902   7.02143   6.9499    6.65188   27.1142   
23      6.50287   7.02739   6.96778   6.63996   27.1082   
24      6.44922   7.05123   6.9201    6.6638    27.0844   
25      6.49095   6.99759   6.96182   6.61612   27.0844   
26      6.44922   7.04527   6.9201    6.6638    27.0844   
27      6.47902   7.01547   6.9499    6.63996   27.0844   
28      6.50287   7.03335   6.96182   6.63996   27.1201   
29      6.4671    7.05123   6.9201    6.6638    27.0963   
